Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,8934,0.01718425
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,200837,0.085921248
Battery Gas 35,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Reciprocating Compressor,Light Liquid,Valve,Highflow,200836,0.051552749
Battery Gas 4,Grande Prairie,Gas Multiwell effluent,,Leak,Screw Compressor - Electric Driver,Process Gas,Connector,Highflow,200840,0.016321421
Battery Gas 40,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Separator,Process Gas,Connector,Highflow,200858,0.247490635
Battery Gas 40,Grande Prairie,Gas Multiwell proration outside SE AB,,Vent,Production Tank (fixed roof),Light Liquid,Open-Ended Line,Estimate,200859,1.557940728
Battery Gas 47,Grande Prairie,Gas Multiwell proration outside SE AB,,Leak,Flare KnockOut Drum,Process Gas,Connector,Highflow,200857,0.065521244
Battery Gas 66,Midnapore,Gas Multiwell proration outside SE AB,,Vent,Production Tank (fixed roof),Light Liquid,Thief Hatch,Estimate,1,0.810784572
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Separator,Process Gas,Connector,Highflow,200849,0.048842947
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Valve,Highflow,200841,0.032561965
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Connector,Highflow,200843,0.244214737
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Regulator,Highflow,200846,0.032561965
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Connector,Highflow,200847,0.081404912
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Connector,Highflow,8946,0.13024786
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Connector,Highflow,200842,0.488429474
Battery Gas 9,Grande Prairie,Gas Multiwell effluent,,Leak,Wellhead,Process Gas,Meter,Highflow,200844,0.048842947
Gas Gathering 10,Midnapore,Compressor Station,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201931,0.602695694
Gas Gathering 10,Midnapore,Compressor Station,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201932,2.582981545
Gas Gathering 12,Red Deer,Compressor Station,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,1,0.088803025
Gas Gathering 13,Red Deer,Compressor Station,,Leak,Separator,Process Gas,Connector,Highflow,201374,0.093558162
Gas Gathering 13,Red Deer,Compressor Station,,Leak,Separator,Process Gas,Connector,Highflow,201373,0.18283183
Gas Gathering 13,Red Deer,Compressor Station,,Leak,Separator,Process Gas,Connector,Highflow,201375,0.031186054
Gas Gathering 13,Red Deer,Compressor Station,,Leak,Separator,Process Gas,Control Valve,Highflow,201376,0.311860541
Gas Gathering 14,Red Deer,Compressor Station,,Vent,Production Tank (fixed roof),Light Liquid,Thief Hatch,Estimate,1,0.223514127
Gas Gathering 15,Grande Prairie,Compressor Station,,Leak,Reciprocating Compressor,Process Gas,Valve,Highflow,201475,0.172949468
